英単語,意味,一般的な意味,例文
due,支払われるべき,～の予定で、期限の来た、～のために,Our next basketball match is due to start in ten minutes. （私たちの次のバスケットボールの試合は10分後に始まる予定です。）
suppose,思う、想像する,～と思う、～と仮定する、～することになっている,I suppose our team can win the next basketball game if we practice hard.（もし私たちが一生懸命練習すれば、次のバスケットボールの試合で私たちのチームが勝つと思います。）
deal,量,扱う、取引する、量,We must deal with their aggressive defense in the second half. （私たちは後半、彼らの攻撃的なディフェンスに対処しなければならない。）
subject,〜なりやすい,主題、科目、～を受けやすい,Basketball is his favorite subject to talk about with his teammates. （バスケットボールは、彼がチームメイトと話すときの一番好きな話題です。）
immediately,直ちに,すぐに、直ちに,The coach ordered us to pass the ball immediately. （コーチは私たちにすぐにボールをパスするように命じました。）
press,押す、新聞,押す、強要する、報道機関,The coach instructed us to press the opposing team from the start of the game. （監督は試合開始から相手チームにプレッシャーをかけるよう私たちに指示しました。）
destination,目的地,目的地、行き先,The team arrived at their destination for the national basketball tournament. （チームは全国バスケットボール大会の目的地に到着した。）
board,食事,板、委員会、（乗り物）に乗る,The ball bounced off the board and went into the basket. （ボールはバックボードに当たってゴールに入った。）
eliminate,除去する,～を除去する、～を排除する、～を失格させる,Our team was eliminated in the first round of the tournament. （私たちのチームは大会の1回戦で敗退しました。）
plenty,豊富,たくさんの、十分な、豊富,We have plenty of time to catch up in the second half. （後半で追いつく時間は十分にあります。）
contribute,貢献する,貢献する、寄付する、一因となる,His three-point shot contributed to the team's victory. （彼の3ポイントシュートがチームの勝利に貢献しました。）
bear,我慢する,～に耐える、～を負う、～を産む,He had to bear the heavy pressure during the final free throw. （彼は最後のフリースローの間、強いプレッシャーに耐えなければならなかった。）
indeed,本当に,本当に、実際に、確かに,He is indeed a talented basketball player. （彼は本当に才能のあるバスケットボール選手です。）
nor,〜もまた…ない,～もまた…ない,He can neither shoot nor pass well under pressure. （彼はプレッシャーがかかるとシュートもパスもうまくできません。）
psychology,心理学,心理学、心理、心理状態,Understanding the opponent's psychology is key to winning a basketball game. （相手の心理を理解することが、バスケットボールの試合に勝つための鍵です。）
appointment,約束,約束、予約、任命,I made an appointment with the trainer to get my ankle checked before the basketball game. （バスケットボールの試合の前に、足首を診てもらうためトレーナーの予約をしました。）
indicate,指し示す,～を示す、～を指し示す、～を指摘する,The coach used hand signals to indicate the next play. （コーチは次のプレーを示すために手信号を使いました。）
regard,心づかい,～とみなす、～を尊重する、点,Many fans regard him as the best basketball player in the league. （多くのファンが彼をリーグで最高のバスケットボール選手だと見なしています。）
surely,確かに、きっと,確かに、きっと、間違いなく,Our team will surely win the next basketball game. （私たちのチームは次のバスケットボールの試合にきっと勝つでしょう。）
equipment,設備,装備、備品、機器,We need to prepare all the basketball equipment before the game starts. （私たちは試合が始まる前にすべてのバスケットボールの用具を準備する必要があります。）
object,対象,物、目的、反対する,The main object of this drill is to improve our passing skills. （この練習の主な目的は、私たちのパス技術を向上させることです。）
suffer,苦しむ,苦しむ、（損害などを）受ける、耐える,Many players suffer from knee injuries during the basketball season. （多くの選手がバスケットボールのシーズン中に膝の怪我に苦しみます。）
settle,定住する、落ち着く,～を解決する、定住する、落ち着く,His last shot settled the basketball game. （彼の最後のシュートがバスケットボールの試合の決着をつけました。）
construct,建てる,～を建設する、～を構成する、～を組み立てる,The coach helped us construct a strong defense for the next match. （コーチは私たちが次の試合に向けて強力なディフェンスを構築するのを手助けしてくれました。）
besides,〜の他に,～に加えて、～の他に、さらに,"Besides being a great shooter, he is also the best defender on our basketball team. （素晴らしいシューターであることに加えて、彼は私たちのバスケットボールチームで最高のディフェンダーでもあります。）"
broad,広い,広い、広範な、大まかな,The point guard has a broad vision of the court during the game. （ポイントガードは試合中、コートの広い視野を持っている。）
opposite,反対の,反対の、向かい側の、逆の,Our point guard passed the ball to the player on the opposite side of the court. （私たちのポイントガードはコートの反対側にいる選手にボールをパスした。）
loose,緩んだ,ゆるい、解き放たれた、ゆるめる,Both players dived for the loose ball during the final minutes of the game. （試合の最後の数分間、両選手はルーズボールに向かって飛び込んだ。）
bother,悩ませる,～を悩ませる、わざわざ～する、困ったこと,Don't let the crowd's loud cheering bother your concentration during the free throw. （フリースローの最中に、観客の大きな声援に集中を邪魔されないようにしなさい。）
investigate,調査する,～を調査する、～を研究する、～を捜査する,The coach investigated the opposing team's strategy before the final match. （監督は決勝戦の前に相手チームの戦略を調査した。）
reveal,暴露する,～を明らかにする、～を暴露する、～を見せる,The coach revealed the starting lineup before the final game. （コーチは決勝戦の前にスターティングメンバーを明らかにした。）
succeed,継承する,成功する、後を継ぐ、継承する,Our team succeeded in winning the basketball tournament. （私たちのチームはバスケットボールの大会で優勝することに成功しました。）
specific,特定の、具体的な,特定の、明確な、具体的な,The coach gave us specific instructions for the next basketball game. （コーチは次のバスケットボールの試合に向けて私たちに具体的な指示を与えた。）
decline,断る,～を断る、減少する、衰退する,His stamina began to decline in the fourth quarter of the basketball game. （バスケットボールの試合の第4クォーターで、彼のスタミナは低下し始めました。）
circumstance,事情、状況,状況、事情、境遇,Under no circumstances should we give up until the basketball game is over. （どのような状況であっても、バスケットボールの試合が終わるまで私たちは諦めてはならない。）
emerge,出てくる、脱する,現れる、明らかになる、台頭する,A new star player began to emerge during the high school basketball tournament. （高校バスケットボール大会で新しいスター選手が台頭し始めました。）
threat,脅迫,脅威、脅迫、恐れ,His three-point shooting is a major threat to the opposing team. （彼の3ポイントシュートは相手チームにとって大きな脅威です。）
significant,重要な,重要な、かなりの、意義深い,He made a significant contribution to the team's victory in the basketball tournament. （彼はバスケットボールの大会でチームの勝利に重要な貢献をした。）
nevertheless,それでもなお,それにもかかわらず,"Our team was losing by ten points; nevertheless, we did not give up and won the game. （私たちのチームは10点差で負けていましたが、それにもかかわらず、私たちはあきらめずに試合に勝ちました。）"
publish,出版する,出版する、公表する、発表する,The team will publish the starting lineup for the championship game tomorrow. （チームは明日、選手権大会のスタメンを発表します。）
obtain,手に入れる,得る、獲得する、手に入れる,He trained hard to obtain a starting position on the basketball team. （彼はバスケットボールチームのスタメンの座を獲得するために猛練習した。）
merely,単に,単に、ただ～にすぎない,"He was not merely a tall player, but also a great passer. （彼は単に背が高い選手というだけでなく、優れたパサーでもあった。）"
devote,捧げる,～を捧げる、～を専念させる、～を充てる,He decided to devote all his time to basketball practice. （彼はすべての時間をバスケットボールの練習にささげることに決めた。）
greatly,大いに,たいへん、非常に、大いに,His shooting skills improved greatly after joining the basketball team. （バスケットボールチームに参加した後、彼のシュート技術は大いに向上しました。）
observe,観察する,～を観察する、～を守る、～と述べる,We carefully observed the opponent's strategy during the basketball game. （私たちはバスケットボールの試合中、相手チームの戦略を注意深く観察した。）
apparent,明らかな,明白な、一見〜らしい、外見上の,It was apparent that the team needed a new strategy after losing the first quarter. （第1クォーターを終えて、チームに新しい戦略が必要であることは明白でした。）
imply,ほのめかす,～を暗に意味する、～をほのめかす、～を暗示する,The coach's smile seemed to imply that our basketball team would win the final game. （コーチの微笑みは、私たちのバスケットボールチームが決勝戦に勝つことを暗に示しているようだった。）
obvious,明らかな,明白な、明らかな,It was obvious that he would score the winning shot. （彼が決勝点を決めることは明らかでした。）
whereas,ところが,～である一方で、～だが一方,"He excels at shooting three-pointers, whereas I am better at defense. （彼は3ポイントシュートを得意としているのに対して、私はディフェンスが得意です。）"
aside,別に,脇に、～は別として、離れて,The coach called a timeout and took the point guard aside to discuss the strategy. （コーチはタイムアウトを取り、作戦を話し合うためにポイントガードを脇へ呼び寄せた。）
otherwise,さもないと,さもなくば、別の方法で、その他の点では,"We need to practice passing today; otherwise, we will lose the next basketball game. （私たちは今日パスの練習をしなければなりません。さもないと、次のバスケットボールの試合に負けてしまいます。）"
examine,調査する,～を調査する、～を診察する、～を試験する,The coach carefully examined the recorded video of the basketball match. （コーチはバスケットボールの試合の録画ビデオを注意深く分析しました。）
upset,ひっくり返す,～を動揺させる、～をひっくり返す、～の調子を悪くする,Our basketball team caused a major upset by defeating the champion team. （私たちのバスケットボールチームは優勝チームを破って番狂わせを起こしました。）
transport,交通手段,～を輸送する、～を運ぶ、輸送,We used a large bus to transport the basketball team to the venue. （私たちは試合会場へバスケットボールチームを移動させるために大型バスを使いました。）
efficient,有能な,効率的な、能率的な,The team practiced an efficient offense to score more points in less time. （チームはより短時間で多く得点するために、効率的な攻撃を練習しました。）
favor,好意,親切な行為、好意、賛成,Could you do me a favor and pass the basketball to him? （私のお願いを聞いて、彼にバスケットボールをパスしてくれますか？）
conscious,意識している,意識している、意識のある、意識的な,He was conscious of the defender approaching from behind. （彼は後ろからディフェンダーが接近していることに気づいていた。）
authority,権威、当局,権威、当局、権限,The referee has the authority to make the final decision on the basketball court. （審判はバスケットボールコート上で最終決定を下す権限を持っています。）
declare,宣言する,～を宣言する、～を明言する、～を申告する,The coach declared that our goal is to win the championship. （監督は私たちの目標は優勝することだと宣言した。）
facility,設備,施設、設備、容易さ,The new basketball facility has two full courts and a weight room. （新しいバスケットボール施設にはフルコートが2面とトレーニングルームがあります。）
numerous,多数の,多数の、数多くの,He made numerous shots during the basketball game. （彼はバスケットボールの試合中に多数のシュートを決めた。）
identity,同一であること,身元、正体、同一性,The team built a strong identity through fast-break attacks. （そのチームはファストブレイクによる攻撃を通じて強いアイデンティティを確立しました。）
